iter	Passed	Remaining
0	45	45367
1	84	42280
2	100	33539
3	131	32802
4	155	30956
5	164	27187
6	171	24346
7	176	21880
8	192	21145
9	197	19577
10	209	18837
11	283	23353
12	289	21976
13	299	21116
14	323	21260
15	349	21493
16	373	21572
17	402	21958
18	408	21109
19	422	20699
20	426	19876
21	432	19218
22	440	18694
23	451	18381
24	458	17887
25	468	17555
26	475	17122
27	485	16840
28	494	16564
29	503	16270
30	519	16227
31	532	16100
32	548	16061
33	555	15777
34	569	15696
35	592	15877
36	609	15869
37	615	15587
38	621	15316
39	627	15050
40	632	14801
41	642	14653
42	648	14426
43	655	14245
44	661	14043
45	681	14135
46	687	13942
47	706	14018
48	714	13863
49	719	13679
50	729	13575
51	740	13498
52	753	13469
53	763	13378
54	802	13793
55	827	13955
56	842	13938
57	859	13967
58	865	13811
59	877	13741
60	895	13780
61	929	14064
62	947	14097
63	954	13955
64	990	14242
65	1007	14257
66	1020	14205
67	1025	14062
68	1036	13982
69	1041	13843
70	1052	13766
71	1058	13640
72	1065	13533
73	1071	13410
74	1077	13290
75	1084	13184
76	1090	13075
77	1097	12970
78	1103	12864
79	1109	12759
80	1116	12672
81	1123	12574
82	1130	12487
83	1136	12392
84	1142	12302
85	1149	12220
86	1156	12132
87	1163	12055
88	1168	11962
89	1175	11882
90	1181	11806
91	1187	11722
92	1194	11651
93	1200	11573
94	1207	11503
95	1214	11432
96	1226	11416
97	1236	11382
98	1250	11382
99	1264	11379
100	1278	11376
101	1292	11380
102	1308	11399
103	1314	11322
104	1320	11255
105	1332	11238
106	1342	11206
107	1356	11200
108	1383	11305
109	1408	11399
110	1427	11430
111	1445	11458
112	1452	11398
113	1458	11336
114	1465	11278
115	1476	11250
116	1490	11245
117	1500	11214
118	1506	11154
119	1514	11105
120	1531	11125
121	1537	11066
122	1547	11034
123	1567	11070
124	1576	11035
125	1583	10982
126	1589	10927
127	1595	10869
128	1601	10814
129	1611	10783
130	1617	10727
131	1629	10715
132	1644	10721
133	1653	10687
134	1668	10692
135	1683	10697
136	1700	10708
137	1715	10715
138	1746	10819
139	1752	10764
140	1758	10711
141	1763	10658
142	1769	10605
143	1775	10552
144	1782	10508
145	1800	10530
146	1821	10569
147	1829	10531
148	1853	10586
149	1873	10617
150	1889	10626
151	1918	10701
152	1936	10721
153	1973	10838
154	1981	10800
155	1992	10781
156	1999	10734
157	2005	10685
158	2011	10638
159	2017	10592
160	2023	10544
161	2029	10499
162	2036	10454
163	2042	10411
164	2053	10393
165	2063	10369
166	2071	10331
167	2081	10308
168	2094	10298
169	2101	10260
170	2107	10215
171	2114	10178
172	2120	10134
173	2127	10101
174	2133	10058
175	2141	10028
176	2160	10044
177	2181	10072
178	2185	10025
179	2191	9981
180	2196	9940
181	2203	9902
182	2208	9859
183	2214	9819
184	2221	9785
185	2226	9743
186	2232	9706
187	2238	9666
188	2243	9626
189	2255	9615
190	2265	9596
191	2272	9562
192	2278	9527
193	2289	9510
194	2295	9474
195	2303	9449
196	2309	9413
197	2317	9388
198	2323	9352
199	2329	9318
200	2335	9282
201	2340	9247
202	2347	9216
203	2353	9183
204	2359	9149
205	2366	9121
206	2372	9088
207	2381	9066
208	2387	9034
209	2399	9027
210	2405	8993
211	2413	8970
212	2418	8937
213	2427	8914
214	2435	8892
215	2442	8867
216	2451	8847
217	2457	8814
218	2464	8790
219	2471	8762
220	2476	8730
221	2482	8699
222	2489	8673
223	2494	8643
224	2500	8612
225	2505	8581
226	2511	8551
227	2516	8520
228	2523	8494
229	2528	8464
230	2534	8437
231	2540	8408
232	2545	8380
233	2551	8351
234	2557	8324
235	2562	8295
236	2567	8266
237	2573	8240
238	2579	8213
239	2588	8198
240	2594	8172
241	2602	8151
242	2608	8125
243	2614	8100
244	2620	8074
245	2626	8051
246	2633	8028
247	2639	8004
248	2647	7985
249	2653	7960
250	2661	7942
251	2668	7921
252	2676	7902
253	2687	7893
254	2696	7877
255	2709	7875
256	2715	7850
257	2722	7829
258	2728	7804
259	2733	7780
260	2739	7757
261	2745	7734
262	2753	7716
263	2759	7692
264	2764	7667
265	2770	7645
266	2776	7622
267	2783	7604
268	2790	7581
269	2799	7567
270	2805	7546
271	2810	7523
272	2817	7503
273	2823	7480
274	2831	7465
275	2837	7444
276	2847	7433
277	2854	7412
278	2862	7397
279	2868	7375
280	2874	7355
281	2880	7334
282	2886	7313
283	2895	7300
284	2901	7278
285	2909	7263
286	2915	7242
287	2920	7220
288	2927	7201
289	2932	7180
290	2944	7174
291	2958	7173
292	2964	7152
293	2970	7134
294	2978	7117
295	2983	7096
296	2989	7075
297	2994	7054
298	2999	7032
299	3005	7013
300	3012	6995
301	3018	6975
302	3023	6954
303	3028	6934
304	3035	6916
305	3040	6896
306	3049	6884
307	3055	6865
308	3061	6845
309	3069	6831
310	3075	6813
311	3082	6798
312	3088	6778
313	3093	6759
314	3099	6739
315	3105	6721
316	3110	6701
317	3117	6686
318	3127	6675
319	3133	6658
320	3139	6641
321	3147	6627
322	3153	6609
323	3161	6596
324	3169	6583
325	3176	6566
326	3181	6547
327	3188	6532
328	3194	6515
329	3200	6497
330	3207	6483
331	3213	6465
332	3220	6450
333	3224	6430
334	3231	6415
335	3238	6400
336	3249	6393
337	3256	6379
338	3262	6361
339	3268	6345
340	3275	6329
341	3285	6320
342	3290	6303
343	3296	6286
344	3303	6271
345	3310	6257
346	3317	6242
347	3322	6225
348	3328	6208
349	3333	6191
350	3339	6174
351	3346	6159
352	3351	6143
353	3356	6125
354	3361	6106
355	3367	6091
356	3372	6074
357	3379	6060
358	3385	6044
359	3390	6027
360	3396	6012
361	3402	5995
362	3407	5979
363	3413	5964
364	3420	5951
365	3427	5937
366	3433	5921
367	3439	5907
368	3445	5892
369	3451	5876
370	3460	5866
371	3471	5860
372	3477	5845
373	3482	5829
374	3488	5814
375	3497	5804
376	3503	5789
377	3509	5774
378	3514	5759
379	3521	5744
380	3527	5730
381	3533	5717
382	3544	5710
383	3549	5694
384	3557	5682
385	3562	5667
386	3569	5653
387	3575	5639
388	3581	5624
389	3588	5612
390	3593	5597
391	3603	5588
392	3608	5573
393	3614	5558
394	3621	5546
395	3626	5530
396	3631	5516
397	3637	5502
398	3643	5488
399	3650	5475
400	3655	5460
401	3661	5446
402	3666	5432
403	3672	5417
404	3677	5403
405	3683	5389
406	3689	5375
407	3695	5361
408	3701	5348
409	3707	5334
410	3714	5323
411	3720	5310
412	3728	5298
413	3733	5284
414	3738	5269
415	3745	5258
416	3753	5247
417	3760	5235
418	3766	5222
419	3775	5213
420	3784	5204
421	3791	5193
422	3798	5181
423	3805	5169
424	3811	5156
425	3818	5144
426	3824	5132
427	3831	5120
428	3837	5107
429	3842	5093
430	3849	5081
431	3855	5068
432	3860	5055
433	3866	5042
434	3871	5029
435	3880	5020
436	3886	5007
437	3895	4998
438	3901	4985
439	3906	4972
440	3912	4959
441	3918	4947
442	3927	4938
443	3933	4925
444	3938	4912
445	3946	4902
446	3951	4888
447	3956	4875
448	3962	4862
449	3967	4849
450	3973	4836
451	3978	4823
452	3984	4811
453	3991	4800
454	3997	4787
455	4003	4775
456	4010	4765
457	4017	4753
458	4025	4744
459	4031	4732
460	4042	4726
461	4047	4713
462	4055	4704
463	4061	4691
464	4066	4678
465	4072	4666
466	4077	4654
467	4083	4641
468	4089	4630
469	4095	4618
470	4101	4606
471	4107	4595
472	4113	4583
473	4119	4571
474	4125	4559
475	4131	4547
476	4138	4537
477	4144	4525
478	4152	4516
479	4158	4504
480	4169	4499
481	4173	4485
482	4178	4473
483	4185	4461
484	4190	4449
485	4198	4440
486	4203	4427
487	4208	4415
488	4217	4406
489	4222	4395
490	4229	4384
491	4234	4372
492	4239	4360
493	4247	4350
494	4253	4339
495	4260	4329
496	4267	4318
497	4272	4307
498	4280	4297
499	4285	4285
500	4291	4274
501	4297	4263
502	4303	4251
503	4310	4242
504	4316	4231
505	4326	4223
506	4331	4212
507	4337	4200
508	4344	4190
509	4349	4179
510	4360	4172
511	4365	4161
512	4372	4150
513	4378	4139
514	4387	4131
515	4394	4122
516	4399	4110
517	4409	4102
518	4416	4093
519	4429	4089
520	4435	4078
521	4441	4066
522	4446	4055
523	4452	4044
524	4458	4033
525	4463	4022
526	4472	4013
527	4477	4002
528	4485	3993
529	4491	3982
530	4497	3972
531	4507	3965
532	4512	3953
533	4521	3945
534	4527	3934
535	4535	3925
536	4540	3914
537	4546	3904
538	4552	3893
539	4558	3882
540	4564	3872
541	4570	3862
542	4575	3851
543	4581	3840
544	4587	3829
545	4592	3818
546	4598	3808
547	4604	3797
548	4609	3786
549	4615	3776
550	4621	3765
551	4629	3756
552	4634	3746
553	4640	3735
554	4646	3725
555	4652	3715
556	4660	3706
557	4666	3696
558	4671	3685
